timestamp,node,cpu_workloads,memory_workloads,nvidia_com_gpu_workloads,status,condition,scenario_workloads,uid,cpu_allocatable,nvidia_com_gpu_allocatable,scenario_allocatable
13/10/2023 13:08,aDg3kSj2Yk,15.89,124341.3711,0,TRUE,Ready,1,1b77e33a-5ade-4208-9041-5b3b3c8070cd,0.01,0,A
13/10/2023 13:13,WOdvBWaYBv,31.85,60211.08203,0,TRUE,Ready,1,3a121964-e3b5-46fd-a38e-b0b5b3e0e524,0.01,0,A
13/10/2023 13:00,WjgPgy3yTf,31.85,60211.08203,0,TRUE,Ready,1,7801a6b7-c38b-43dd-a4fb-7f9ffe9bd8f4,1,0,A
13/10/2023 12:10,o2UUvjQf5s,31.85,60211.08203,0,TRUE,Ready,1,58218695-4524-40fe-b14b-9e30226b9571,0.025,0,A
13/10/2023 12:19,xyOrJittdu,3.92,15027.37109,1,TRUE,Ready,1,5a5a1619-af9a-4911-aa12-e287794ef017,0.01,0,A
13/10/2023 13:18,DKNbIuWaho,1.93,3308.941406,0,TRUE,Ready,1,d94a580d-2046-4d01-aded-d71a21dc488f,0.025,0,A
13/10/2023 12:59,E1hppGjS1N,31.85,60211.08203,0,TRUE,Ready,1,70231bfc-c8b2-447c-93db-b9ec3f3d44a3,1,0,A
13/10/2023 12:55,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,5be6c3f9-362f-492d-9fc1-e53847cf2857,1,0,A
13/10/2023 12:48,E1hppGjS1N,31.85,60211.08203,0,TRUE,Ready,1,c0d0ab66-416d-44ee-9040-59dbcff0f8ea,1,0,A
13/10/2023 12:50,OKE9Aavjyq,7.91,14684.87891,0,TRUE,Ready,1,20758169-7571-4006-a08f-2f05e0ae6a6e,0.025,0,A
13/10/2023 13:28,yUgR3woFgQ,15.89,124341.3711,0,TRUE,Ready,1,81f841da-b0fe-4a46-9c1d-ec4fc31bface,0.1,0,A
13/10/2023 13:46,LC2fvnBLm3,7.91,14684.87891,0,TRUE,Ready,1,829c4026-af57-473b-9f69-433ed4e9569a,0.1,0,A
13/10/2023 12:37,rlT3yYQ31M,7.91,14684.87891,0,,,1,fbce6e63-fed4-44fa-9b38-3687c877a627,0.025,0,A
13/10/2023 13:09,WjgPgy3yTf,31.85,60211.08203,0,TRUE,Ready,1,3e409bac-9f85-48f7-9ef9-618e57d2d27b,1,0,A
13/10/2023 14:00,E1hppGjS1N,31.85,60211.08203,0,TRUE,Ready,1,5f422b82-6ccd-44a7-ba73-9a577eea4a26,0.1,0,A
13/10/2023 14:00,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,9c973348-7c7a-484b-a416-fa5791571b14,1,0,A
13/10/2023 14:00,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,dfdd2c8b-5ac8-486c-b67a-013beec20cb6,1,0,A
13/10/2023 12:27,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,9d1ea6ce-0190-4725-9234-2954a93bc047,1,0,A
